"","year","country_code","country_name","female_managers","male_managers","female_hours","male_hours","female_pt","male_pt","lfpr_female","family_benefits_exp","per_female_tertiary","position_guarantee","mandatory_leave_days","employment_services","epl_score","female_politicians"
"1",2008,"US","United States",0.363,0.637,41,47,"12%","5%",0.585,0.007,0.572,NA,NA,0.782,1.17,NA
"2",2009,"US","United States",0.352,0.648,42,47,"12%","5%",0.581,0.007,0.571,"Yes",NA,0.796,1.17,NA
"3",2010,"US","United States",0.349,0.651,41,46,"13%","5%",0.575,0.007,0.571,NA,17,0.799,1.17,0.168
"4",2011,"US","United States",0.357,0.643,41,46,"12%","7%",0.569,0.007,0.57,"Yes",17,0.798,1.17,0.169
"5",2012,"US","United States",0.361,0.639,42,47,"11%","6%",0.567,0.007,0.57,NA,18,0.799,1.17,0.184
"6",2013,"US","United States",0.346,0.654,42,46,"12%","6%",0.563,0.007,0.566,"Yes",18,0.797,1.17,0.182
"7",2014,"US","United States",0.35,0.65,41,46,"13%","5%",0.561,NA,0.563,NA,19,0.794,NA,0.194
"8",2015,"US","United States",0.345,0.655,41,46,"11%","5%",0.558,NA,0.562,"Yes",20,0.795,NA,0.195
"9",2016,"US","United States",0.363,0.637,41,46,"9%","6%",0.56,NA,0.561,NA,20,0.795,NA,0.195
"10",2017,"US","United States",0.367,0.633,41,46,"11%","5%",0.557,NA,0.562,"Yes",20,0.794,NA,0.197
"11",2018,"US","United States",0.361,0.639,41,45,"12%","5%",NA,NA,NA,NA,NA,NA,NA,NA
"12",2008,"AT","Austria",0.283,0.717,45,50,"16%","6%",0.527,0.026,NA,NA,NA,0.685,2.44,NA
"13",2008,"BE","Belgium",0.314,0.686,34,37,"13%","4%",0.467,0.027,0.55,NA,NA,0.738,2.99,NA
"14",2008,"DE","Germany",0.268,0.732,44,49,"18%","6%",0.521,0.019,NA,NA,NA,0.689,2.84,NA
"15",2008,"DK","Denmark",0.245,0.755,41,45,"11%","6%",0.611,0.036,0.58,NA,NA,0.744,2.27,NA
"16",2008,"ES","Spain",0.347,0.653,43,45,"8%","3%",0.497,0.013,0.54,NA,NA,0.681,2.66,NA
"17",2008,"FI","Finland",0.287,0.713,41,45,"8%","6%",0.574,0.028,0.542,NA,NA,0.703,2.17,NA
"18",2008,"FR","France",0.351,0.649,45,51,"9%","3%",0.507,0.028,0.552,NA,NA,0.74,2.87,NA
"19",2008,"IE","Ireland",0.339,0.661,33,36,"18%","3%",0.544,0.033,0.542,NA,NA,0.697,1.98,NA
"20",2008,"IT","Italy",0.338,0.662,44,49,"11%","3%",0.384,0.014,0.574,NA,NA,0.665,3.03,NA
"21",2008,"NL","Netherlands",0.283,0.717,32,45,"53%","9%",0.592,0.015,0.517,NA,NA,0.786,2.93,NA
"22",2008,"PT","Portugal",0.317,0.683,47,49,"7%","3%",0.559,0.012,0.535,NA,NA,0.596,3.51,NA
"23",2008,"SE","Sweden",0.312,0.688,40,44,"15%","6%",0.598,0.033,0.603,NA,NA,0.765,2.52,NA
"24",2008,"GB","United Kingdom",0.283,0.717,43,47,NA,NA,0.553,0.035,0.572,NA,NA,0.769,1.76,NA
"25",2009,"AT","Austria",0.271,0.729,45,50,"18%","5%",0.534,0.028,NA,"No",NA,0.697,2.44,NA
"26",2009,"BE","Belgium",0.328,0.672,34,36,"17%","4%",0.467,0.028,0.548,"Yes",NA,0.75,2.99,NA
"27",2009,"DE","Germany",0.274,0.726,43,49,"16%","4%",0.525,0.022,NA,"No",NA,0.695,2.84,NA
"28",2009,"DK","Denmark",0.245,0.755,41,45,"11%","6%",0.606,0.04,0.582,"Yes",NA,0.771,2.27,NA
"29",2009,"ES","Spain",0.35,0.65,43,46,"10%","3%",0.508,0.015,0.541,"Yes",NA,0.713,2.66,NA
"30",2009,"FI","Finland",0.258,0.742,42,44,"9%","7%",0.57,0.031,0.54,"Yes",NA,0.714,2.17,NA
"31",2009,"FR","France",0.349,0.651,45,50,"9%","2%",0.51,0.029,0.552,"Yes",NA,0.744,2.82,NA
"32",2009,"IE","Ireland",0.331,0.669,32,35,"16%","4%",0.538,0.039,0.539,"Yes",NA,0.737,1.98,NA
"33",2009,"IT","Italy",0.344,0.656,43,48,"11%","2%",0.379,0.015,0.577,"Yes",NA,0.671,3.03,NA
"34",2009,"NL","Netherlands",0.285,0.715,33,45,"49%","9%",0.597,0.016,0.518,"Yes",NA,0.792,2.88,NA
"35",2009,"PT","Portugal",0.315,0.685,45,47,"6%","3%",0.556,0.014,0.534,"Yes",NA,0.607,3.51,NA
"36",2009,"SE","Sweden",0.312,0.688,40,44,"15%","6%",0.593,0.035,0.601,"Yes",NA,0.777,2.52,NA
"37",2009,"GB","United Kingdom",0.324,0.676,40,47,"10%","2%",0.555,0.038,0.57,"Yes",NA,0.793,1.76,NA
"38",2010,"AT","Austria",0.286,0.714,44,50,"21%","5%",0.535,0.028,NA,NA,28,0.699,2.44,0.283
"39",2010,"BE","Belgium",0.323,0.677,36,39,"15%","5%",0.475,0.028,0.552,NA,39,0.753,3.13,0.389
"40",2010,"DE","Germany",0.283,0.717,42,49,"17%","4%",0.528,0.022,NA,NA,32,0.7,2.84,0.317
"41",2010,"DK","Denmark",0.223,0.777,41,46,"12%","6%",0.598,0.038,0.581,NA,38,0.78,2.27,0.38
"42",2010,"ES","Spain",0.345,0.655,44,47,"8%","2%",0.515,0.015,0.539,NA,34,0.728,2.66,0.341
"43",2010,"FI","Finland",0.247,0.753,41,45,"10%","7%",0.56,0.031,0.538,NA,40,0.723,2.17,0.4
"44",2010,"FR","France",0.356,0.644,45,50,"9%","3%",0.509,0.029,0.55,NA,20,0.748,2.82,0.2
"45",2010,"IE","Ireland",0.339,0.661,33,35,"15%","4%",0.533,0.037,0.524,NA,16,0.759,1.98,0.161
"46",2010,"IT","Italy",0.333,0.667,43,48,"11%","3%",0.378,0.013,0.576,NA,20,0.676,3.03,0.203
"47",2010,"NL","Netherlands",0.274,0.726,32,44,"53%","9%",0.582,0.015,0.518,NA,39,0.793,2.88,0.387
"48",2010,"PT","Portugal",0.328,0.672,45,48,"4%","4%",0.558,0.014,0.533,NA,27,0.615,3.31,0.274
"49",2010,"SE","Sweden",0.299,0.701,40,44,"12%","7%",0.589,0.034,0.594,NA,45,0.78,2.52,0.45
"50",2010,"GB","United Kingdom",0.316,0.684,41,46,"11%","3%",0.555,0.04,0.566,NA,21,0.796,1.76,0.21
"51",2011,"AT","Austria",0.275,0.725,42,49,"20%","4%",0.538,0.026,NA,"No",29,0.69,2.44,0.287
"52",2011,"BE","Belgium",0.299,0.701,36,41,"16%","3%",0.468,0.028,0.553,"Yes",39,0.755,3.13,0.389
"53",2011,"DE","Germany",0.274,0.726,41,47,"15%","3%",0.537,0.021,NA,"No",32,0.701,2.84,0.324
"54",2011,"DK","Denmark",0.3,0.7,40,42,"6%","2%",0.596,0.038,0.576,"Yes",39,0.777,2.32,0.391
"55",2011,"ES","Spain",0.294,0.706,40,44,"7%","2%",0.521,0.013,0.539,"Yes",35,0.741,2.56,0.349
