"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,1.1666666,,
"AUS","Australia","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,1.1666666,,
"AUS","Australia","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,1.6666666,,
"AUS","Australia","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,1.6666666,,
"AUS","Australia","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,1.6666666,,
"AUS","Australia","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,1.6666666,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.3690476,,
"AUT","Austria","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.3690476,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,1.8928572,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,1.8928572,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.0833333,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.0833333,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,1.8928572,,
"BEL","Belgium","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,1.8928572,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,0.92063493,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,0.92063493,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,0.92063493,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,0.92063493,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,0.92063493,,
"CAN","Canada","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,0.92063493,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,3.0515873,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,3.0515873,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,3.0515873,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,3.0515873,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.9246032,,
"CZE","Czech Republic","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.9246032,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.1349206,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.1349206,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.1349206,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.1984127,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.1984127,,
"DNK","Denmark","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.1984127,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.1666667,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.1666667,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.1666667,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.1666667,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.1666667,,
"FIN","Finland","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.1666667,,
"FRA","France","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.4682541,,
"FRA","France","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.3849206,,
"FRA","France","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.3849206,,
"FRA","France","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.3849206,,
"FRA","France","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.3849206,,
"FRA","France","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.3849206,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.6785715,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.6785715,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.6785715,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.6785715,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.6785715,,
"DEU","Germany","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.6785715,,
"GRC","Greece","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.8015873,,
"GRC","Greece","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.8015873,,
"GRC","Greece","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.8015873,,
"GRC","Greece","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.1666667,,
"GRC","Greece","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.1666667,,
"GRC","Greece","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.1190476,,
"HUN","Hungary","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.0039682,,
"HUN","Hungary","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.0039682,,
"HUN","Hungary","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.0039682,,
"HUN","Hungary","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.0039682,,
"HUN","Hungary","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.0039682,,
"HUN","Hungary","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,1.5873016,,
"ISL","Iceland","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,1.7301587,,
"ISL","Iceland","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,1.7301587,,
"ISL","Iceland","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,1.7301587,,
"ISL","Iceland","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,1.7301587,,
"ISL","Iceland","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,1.7301587,,
"ISL","Iceland","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,1.7301587,,
"IRL","Ireland","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,1.2698413,,
"IRL","Ireland","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,1.2698413,,
"IRL","Ireland","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,1.2698413,,
"IRL","Ireland","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,1.2698413,,
"IRL","Ireland","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,1.3968254,,
"IRL","Ireland","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,1.3968254,,
"ITA","Italy","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.7619047,,
"ITA","Italy","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.7619047,,
"ITA","Italy","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.7619047,,
"ITA","Italy","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.7619047,,
"ITA","Italy","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.7619047,,
"ITA","Italy","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.6785715,,
"JPN","Japan","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,1.3690476,,
"JPN","Japan","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,1.3690476,,
"JPN","Japan","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,1.3690476,,
"JPN","Japan","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,1.3690476,,
"JPN","Japan","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,1.3690476,,
"JPN","Japan","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,1.3690476,,
"KOR","Korea","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.3690476,,
"KOR","Korea","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.3690476,,
"KOR","Korea","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.3690476,,
"KOR","Korea","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.3690476,,
"KOR","Korea","EPRC_V1","Version 1 (1985-2013)","2012","2012","IDX","Index","0","Units",,,2.3690476,,
"KOR","Korea","EPRC_V1","Version 1 (1985-2013)","2013","2013","IDX","Index","0","Units",,,2.3690476,,
"LUX","Luxembourg","EPRC_V1","Version 1 (1985-2013)","2008","2008","IDX","Index","0","Units",,,2.2460318,,
"LUX","Luxembourg","EPRC_V1","Version 1 (1985-2013)","2009","2009","IDX","Index","0","Units",,,2.2460318,,
"LUX","Luxembourg","EPRC_V1","Version 1 (1985-2013)","2010","2010","IDX","Index","0","Units",,,2.2460318,,
"LUX","Luxembourg","EPRC_V1","Version 1 (1985-2013)","2011","2011","IDX","Index","0","Units",,,2.2460318,,
