Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Afghanistan,AFG,14.8769998550415,14.6940002441406,14.7089996337891,15.2580003738403,15.9919996261597,16.8589992523193,17.7859992980957,18.7169990539551,19.4190006256104,19.4729995727539
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Albania,ALB,46.2690010070801,44.9449996948242,45.693000793457,47.1040000915527,48.8059997558594,44.6500015258789,44.7890014648438,47.6759986877441,47.4389991760254,47.2179985046387
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Algeria,DZA,13.8120002746582,14.206000328064,14.378999710083,15.2390003204346,16.1569995880127,16.8819999694824,15.3400001525879,15.2370004653931,15.125,15.2320003509521
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Angola,AGO,75.2050018310547,75.245002746582,75.2829971313477,75.3430023193359,75.3929977416992,75.431999206543,75.4359970092773,75.4020004272461,75.3339996337891,75.3239974975586
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Argentina,ARG,48.1189994812012,48.8230018615723,46.3790016174316,48.1020011901855,48.1879997253418,47.7900009155273,47.1570014953613,47.4529991149902,47.4300003051758,47.3320007324219
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Armenia,ARM,47.7039985656738,48.3320007324219,49.6199989318848,52.1199989318848,51.9869995117188,52.6459999084473,51.9580001831055,51.1759986877441,51.2109985351563,51.435001373291
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
