Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Afghanistan,AFG,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Albania,ALB,..,0,..,0,..,0,..,0,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Algeria,DZA,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Angola,AGO,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Argentina,ARG,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Armenia,ARM,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Australia,AUS,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Austria,AUT,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Azerbaijan,AZE,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,"Bahamas, The",BHS,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Bahrain,BHR,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Bangladesh,BGD,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Barbados,BRB,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Belarus,BLR,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Belgium,BEL,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Belize,BLZ,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Benin,BEN,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Bhutan,BTN,..,..,..,..,..,..,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Bolivia,BOL,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Bosnia and Herzegovina,BIH,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Botswana,BWA,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Brazil,BRA,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Brunei Darussalam,BRN,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Bulgaria,BGR,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Burkina Faso,BFA,..,1,..,1,..,1,..,1,..,1
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Burundi,BDI,..,0,..,0,..,0,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Cabo Verde,CPV,..,..,..,..,..,..,..,0,..,0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),SG.MMR.LEVE.EP,Cambodia,KHM,..,1,..,1,..,1,..,1,..,1
